C,kernel,gamma,degree,orientation,pixels_per_cell,cell_per_block,num_of_balancing,Balanced Accuracy,Precision,Recall,F1 Score
0.7036706168293685,linear,auto,nan,10,"(16, 16)","(3, 3)",425,0.5954,0.59,0.5954,0.5879
0.7653227767175849,polynomial,0.04537846072048372,3.0,10,"(12, 12)","(2, 2)",250,0.6154,0.6052,0.6154,0.6069
0.8046930013449941,linear,auto,nan,8,"(16, 16)","(2, 2)",450,0.5532,0.5499,0.5532,0.5477
0.8249109664948209,polynomial,0.012171304534310973,3.0,7,"(24, 24)","(3, 3)",500,0.504,0.5226,0.504,0.5104
0.947234104061108,linear,auto,nan,8,"(16, 16)","(2, 2)",250,0.5494,0.5262,0.5495,0.5266
0.9682349553240612,linear,auto,nan,9,"(16, 16)","(3, 3)",450,0.57,0.5709,0.5701,0.5651
1.0918805810967878,rbf,9.258887750680873e-05,nan,9,"(16, 16)","(2, 2)",250,0.261,0.2037,0.261,0.1402
1.1869636028162602,polynomial,5.8659085308817046e-05,3.0,10,"(24, 24)","(3, 3)",450,0.2661,0.2137,0.2661,0.1623
1.3300364548990955,polynomial,0.00719606046443954,2.0,8,"(16, 16)","(2, 2)",300,0.5623,0.604,0.5623,0.5743
1.607785923586461,polynomial,4.455787124374002e-05,4.0,10,"(24, 24)","(3, 3)",425,0.2821,0.205,0.2821,0.1864
1.6921791049515205,rbf,0.00010470234751802589,nan,6,"(16, 16)","(2, 2)",300,0.2806,0.2106,0.2805,0.2088
106.33917104874467,polynomial,0.004247864548619983,3.0,10,"(12, 12)","(2, 2)",350,0.6023,0.6186,0.6023,0.6082
11.954157129257746,rbf,3.06855180841999e-05,nan,6,"(12, 12)","(3, 3)",475,0.3922,0.4129,0.3922,0.3752
111.96439537509876,polynomial,0.0004896778424146783,3.0,8,"(12, 12)","(3, 3)",275,0.4414,0.3974,0.4414,0.4148
122.92708440118578,polynomial,0.0003156435513905746,4.0,10,"(24, 24)","(3, 3)",500,0.2546,0.1454,0.2546,0.1427
15.086145792035484,rbf,0.014669175363061157,nan,9,"(16, 16)","(2, 2)",350,0.6339,0.6596,0.634,0.6434
15.09907870746259,linear,auto,nan,9,"(24, 24)","(2, 2)",275,0.5359,0.5107,0.5359,0.51
15.41390576033903,polynomial,0.014214151928630573,3.0,9,"(12, 12)","(2, 2)",375,0.6047,0.6188,0.6047,0.6082
15.843847043980649,polynomial,0.0017938406877868688,3.0,9,"(24, 24)","(3, 3)",300,0.2748,0.2135,0.2748,0.1744
150.59632921948472,polynomial,1.4605500608581713e-05,2.0,9,"(24, 24)","(3, 3)",425,0.2912,0.2055,0.2912,0.2014
161.71461829147748,rbf,2.0452149990862927e-05,nan,8,"(12, 12)","(2, 2)",350,0.4829,0.5866,0.4829,0.5021
164.48721131001275,rbf,0.012437434932370714,nan,7,"(24, 24)","(3, 3)",300,0.604,0.5849,0.604,0.5897
2.1676720058053545,linear,auto,nan,7,"(24, 24)","(3, 3)",450,0.5204,0.5043,0.5204,0.5064
20.46592320665536,polynomial,1.7244802211066072e-05,3.0,8,"(16, 16)","(3, 3)",450,0.299,0.1808,0.299,0.2108
207.83485006567005,polynomial,0.022444141445516333,4.0,10,"(16, 16)","(2, 2)",425,0.6454,0.6828,0.6455,0.659
212.894865550859,rbf,0.017278224012453054,nan,8,"(12, 12)","(3, 3)",425,0.6278,0.6739,0.6278,0.64
22.68779969746947,linear,auto,nan,6,"(16, 16)","(3, 3)",400,0.5686,0.566,0.5686,0.5626
266.6699958923855,rbf,0.0005281016929315029,nan,7,"(16, 16)","(3, 3)",475,0.585,0.5798,0.585,0.5783
271.2720063755522,rbf,0.03451005508714583,nan,10,"(12, 12)","(2, 2)",500,0.487,0.5867,0.487,0.4899
