fold,C,kernel,gamma,degree,orientation,pixels_per_cell,cell_per_block,num_of_balancing,Balanced Accuracy,Precision,Recall,F1 Score
2,0.4511279317638512,linear,auto,,10,"(12, 12)","(3, 3)",250,0.5766,0.5503,0.5766,0.5534
3,0.4511279317638512,linear,auto,,10,"(12, 12)","(3, 3)",250,0.5988,0.5704,0.5988,0.5692
4,0.4511279317638512,linear,auto,,10,"(12, 12)","(3, 3)",250,0.5688,0.5651,0.5689,0.5592
1,0.032437660185995865,linear,auto,,10,"(16, 16)","(2, 2)",500,0.5634,0.5875,0.5634,0.5695
2,0.032437660185995865,linear,auto,,10,"(16, 16)","(2, 2)",500,0.5869,0.6473,0.5869,0.6066
3,0.032437660185995865,linear,auto,,10,"(16, 16)","(2, 2)",500,0.5815,0.6288,0.5815,0.5998
4,0.032437660185995865,linear,auto,,10,"(16, 16)","(2, 2)",500,0.5517,0.6103,0.5517,0.5684
1,0.48315803982226635,linear,auto,,8,"(12, 12)","(3, 3)",325,0.5974,0.5848,0.5974,0.5833
2,0.48315803982226635,linear,auto,,8,"(12, 12)","(3, 3)",325,0.5736,0.5397,0.5736,0.5489
3,0.48315803982226635,linear,auto,,8,"(12, 12)","(3, 3)",325,0.5335,0.5088,0.5334,0.5141
4,0.48315803982226635,linear,auto,,8,"(12, 12)","(3, 3)",325,0.5598,0.5528,0.5598,0.5552
1,0.21010276414508944,rbf,2.059357683349601e-05,,8,"(12, 12)","(2, 2)",250,0.2565,0.1464,0.2565,0.1041
2,0.21010276414508944,rbf,2.059357683349601e-05,,8,"(12, 12)","(2, 2)",250,0.2727,0.1558,0.2727,0.119
3,0.21010276414508944,rbf,2.059357683349601e-05,,8,"(12, 12)","(2, 2)",250,0.249,0.1297,0.249,0.0917
4,0.21010276414508944,rbf,2.059357683349601e-05,,8,"(12, 12)","(2, 2)",250,0.2534,0.1185,0.2534,0.1244
1,0.04627939638341512,linear,auto,,9,"(24, 24)","(2, 2)",400,0.5527,0.6048,0.5527,0.5701
2,0.04627939638341512,linear,auto,,9,"(24, 24)","(2, 2)",400,0.5568,0.6025,0.5568,0.5721
3,0.04627939638341512,linear,auto,,9,"(24, 24)","(2, 2)",400,0.4888,0.5262,0.4887,0.501
4,0.04627939638341512,linear,auto,,9,"(24, 24)","(2, 2)",400,0.5067,0.5375,0.5066,0.5173
1,1.6077859235864613,polynomial,4.455787124374002e-05,4,10,"(24, 24)","(3, 3)",425,0.3151,0.3465,0.3151,0.2074
2,1.6077859235864613,polynomial,4.455787124374002e-05,4,10,"(24, 24)","(3, 3)",425,0.2887,0.1716,0.2887,0.164
3,1.6077859235864613,polynomial,4.455787124374002e-05,4,10,"(24, 24)","(3, 3)",425,0.2622,0.151,0.2622,0.187
4,1.6077859235864613,polynomial,4.455787124374002e-05,4,10,"(24, 24)","(3, 3)",425,0.2622,0.1508,0.2622,0.1871
1,581.6075180590525,rbf,0.07494117031530174,,7,"(12, 12)","(3, 3)",250,0.4198,0.5905,0.4197,0.3962
2,581.6075180590525,rbf,0.07494117031530174,,7,"(12, 12)","(3, 3)",250,0.3867,0.8087,0.3867,0.3699
3,581.6075180590525,rbf,0.07494117031530174,,7,"(12, 12)","(3, 3)",250,0.3202,0.4747,0.3202,0.2614
4,581.6075180590525,rbf,0.07494117031530174,,7,"(12, 12)","(3, 3)",250,0.3699,0.5472,0.3699,0.3359
1,0.002954562439985424,rbf,0.00015969263033483935,,10,"(12, 12)","(3, 3)",350,0.2851,0.4575,0.2851,0.1663
2,0.002954562439985424,rbf,0.00015969263033483935,,10,"(12, 12)","(3, 3)",350,0.279,0.1762,0.2789,0.1669
3,0.002954562439985424,rbf,0.00015969263033483935,,10,"(12, 12)","(3, 3)",350,0.2468,0.1382,0.2468,0.1403
4,0.002954562439985424,rbf,0.00015969263033483935,,10,"(12, 12)","(3, 3)",350,0.2307,0.1175,0.2307,0.1272
1,0.028613865218670747,rbf,0.023734814997678415,,7,"(16, 16)","(3, 3)",450,0.32,0.1818,0.32,0.2102
2,0.028613865218670747,rbf,0.023734814997678415,,7,"(16, 16)","(3, 3)",450,0.3191,0.1881,0.3191,0.2257
3,0.028613865218670747,rbf,0.023734814997678415,,7,"(16, 16)","(3, 3)",450,0.269,0.1681,0.269,0.2064
4,0.028613865218670747,rbf,0.023734814997678415,,7,"(16, 16)","(3, 3)",450,0.3322,0.2384,0.3322,0.2679
1,34.52259083862354,linear,auto,,10,"(16, 16)","(3, 3)",325,0.6189,0.5898,0.619,0.5966
2,34.52259083862354,linear,auto,,10,"(16, 16)","(3, 3)",325,0.5982,0.5889,0.5982,0.5901
3,34.52259083862354,linear,auto,,10,"(16, 16)","(3, 3)",325,0.5598,0.552,0.5598,0.5458
4,34.52259083862354,linear,auto,,10,"(16, 16)","(3, 3)",325,0.6019,0.5897,0.602,0.591
1,736.8720881270207,linear,auto,,10,"(12, 12)","(2, 2)",300,0.5643,0.5596,0.5643,0.5558
2,736.8720881270207,linear,auto,,10,"(12, 12)","(2, 2)",300,0.5824,0.5536,0.5824,0.5554
3,736.8720881270207,linear,auto,,10,"(12, 12)","(2, 2)",300,0.5528,0.5487,0.5528,0.5473
4,736.8720881270207,linear,auto,,10,"(12, 12)","(2, 2)",300,0.543,0.5514,0.543,0.5416
1,3.5949952394041196,polynomial,0.038793185542522875,2,10,"(16, 16)","(2, 2)",375,0.5854,0.5924,0.5854,0.5851
2,3.5949952394041196,polynomial,0.038793185542522875,2,10,"(16, 16)","(2, 2)",375,0.6048,0.6242,0.6048,0.6126
3,3.5949952394041196,polynomial,0.038793185542522875,2,10,"(16, 16)","(2, 2)",375,0.6033,0.595,0.6034,0.5952
4,3.5949952394041196,polynomial,0.038793185542522875,2,10,"(16, 16)","(2, 2)",375,0.5683,0.5928,0.5683,0.5746
1,164.48721131001275,rbf,0.012437434932370714,,7,"(24, 24)","(3, 3)",300,0.6281,0.5987,0.628,0.6052
2,164.48721131001275,rbf,0.012437434932370714,,7,"(24, 24)","(3, 3)",300,0.6087,0.5908,0.6088,0.5948
3,164.48721131001275,rbf,0.012437434932370714,,7,"(24, 24)","(3, 3)",300,0.5757,0.558,0.5756,0.565
4,164.48721131001275,rbf,0.012437434932370714,,7,"(24, 24)","(3, 3)",300,0.6035,0.5922,0.6035,0.5938
1,0.030358962284697567,rbf,0.018147818370791602,,7,"(16, 16)","(3, 3)",300,0.3039,0.1733,0.3039,0.1985
2,0.030358962284697567,rbf,0.018147818370791602,,7,"(16, 16)","(3, 3)",300,0.3378,0.1971,0.3378,0.2433
3,0.030358962284697567,rbf,0.018147818370791602,,7,"(16, 16)","(3, 3)",300,0.2114,0.1205,0.2114,0.1456
4,0.030358962284697567,rbf,0.018147818370791602,,7,"(16, 16)","(3, 3)",300,0.2473,0.142,0.2473,0.1724
1,122.92708440118578,polynomial,0.0003156435513905746,4,10,"(24, 24)","(3, 3)",500,0.2701,0.1394,0.2701,0.1386
2,122.92708440118578,polynomial,0.0003156435513905746,4,10,"(24, 24)","(3, 3)",500,0.2687,0.1746,0.2686,0.1153
3,122.92708440118578,polynomial,0.0003156435513905746,4,10,"(24, 24)","(3, 3)",500,0.2373,0.1326,0.2373,0.1584
4,122.92708440118578,polynomial,0.0003156435513905746,4,10,"(24, 24)","(3, 3)",500,0.2422,0.1352,0.2422,0.1586
1,0.03249406742876821,polynomial,0.002280208165755645,3,9,"(12, 12)","(2, 2)",275,0.2688,0.4483,0.2688,0.1165
2,0.03249406742876821,polynomial,0.002280208165755645,3,9,"(12, 12)","(2, 2)",275,0.2939,0.1911,0.2939,0.185
3,0.03249406742876821,polynomial,0.002280208165755645,3,9,"(12, 12)","(2, 2)",275,0.2149,0.1278,0.2149,0.1356
4,0.03249406742876821,polynomial,0.002280208165755645,3,9,"(12, 12)","(2, 2)",275,0.2419,0.1316,0.2419,0.1412
1,583.1765153687801,linear,auto,,6,"(12, 12)","(3, 3)",350,0.6151,0.594,0.6151,0.597
2,583.1765153687801,linear,auto,,6,"(12, 12)","(3, 3)",350,0.6197,0.5876,0.6197,0.5973
3,583.1765153687801,linear,auto,,6,"(12, 12)","(3, 3)",350,0.5214,0.5012,0.5214,0.5044
4,583.1765153687801,linear,auto,,6,"(12, 12)","(3, 3)",350,0.5275,0.5184,0.5274,0.5219
1,0.03841536569809623,polynomial,0.0002603833936675068,4,9,"(16, 16)","(2, 2)",250,0.2716,0.2727,0.2716,0.1648
2,0.03841536569809623,polynomial,0.0002603833936675068,4,9,"(16, 16)","(2, 2)",250,0.2916,0.1857,0.2915,0.193
3,0.03841536569809623,polynomial,0.0002603833936675068,4,9,"(16, 16)","(2, 2)",250,0.2174,0.1218,0.2175,0.1427
4,0.03841536569809623,polynomial,0.0002603833936675068,4,9,"(16, 16)","(2, 2)",250,0.2393,0.1347,0.2393,0.1308
1,0.0018683029428340214,polynomial,0.00014084594659913703,4,6,"(16, 16)","(3, 3)",400,0.3492,0.215,0.3492,0.2662
2,0.0018683029428340214,polynomial,0.00014084594659913703,4,6,"(16, 16)","(3, 3)",400,0.3089,0.2438,0.3089,0.2483
3,0.0018683029428340214,polynomial,0.00014084594659913703,4,6,"(16, 16)","(3, 3)",400,0.294,0.1936,0.294,0.2277
4,0.0018683029428340214,polynomial,0.00014084594659913703,4,6,"(16, 16)","(3, 3)",400,0.3336,0.2687,0.3336,0.2731
1,387.2745944154965,polynomial,9.8678750366931e-05,2,10,"(24, 24)","(2, 2)",425,0.3407,0.454,0.3407,0.2676
2,387.2745944154965,polynomial,9.8678750366931e-05,2,10,"(24, 24)","(2, 2)",425,0.3408,0.2283,0.3408,0.2692
3,387.2745944154965,polynomial,9.8678750366931e-05,2,10,"(24, 24)","(2, 2)",425,0.2842,0.1915,0.2842,0.2179
4,387.2745944154965,polynomial,9.8678750366931e-05,2,10,"(24, 24)","(2, 2)",425,0.3187,0.2324,0.3187,0.2558
1,0.07401953231485914,linear,auto,,8,"(24, 24)","(2, 2)",300,0.5271,0.5125,0.5271,0.5173
2,0.07401953231485914,linear,auto,,8,"(24, 24)","(2, 2)",300,0.6107,0.5978,0.6107,0.5987
3,0.07401953231485914,linear,auto,,8,"(24, 24)","(2, 2)",300,0.5577,0.5621,0.5577,0.5597
4,0.07401953231485914,linear,auto,,8,"(24, 24)","(2, 2)",300,0.5156,0.5306,0.5156,0.5186
1,0.00927075422424441,polynomial,5.306744844976688e-05,4,10,"(16, 16)","(3, 3)",425,0.3303,0.1934,0.3303,0.2361
2,0.00927075422424441,polynomial,5.306744844976688e-05,4,10,"(16, 16)","(3, 3)",425,0.3366,0.1977,0.3366,0.2459
3,0.00927075422424441,polynomial,5.306744844976688e-05,4,10,"(16, 16)","(3, 3)",425,0.2903,0.1866,0.2902,0.2234
4,0.00927075422424441,polynomial,5.306744844976688e-05,4,10,"(16, 16)","(3, 3)",425,0.3273,0.2345,0.3273,0.2626
1,20.465923206655358,polynomial,1.7244802211066072e-05,3,8,"(16, 16)","(3, 3)",450,0.2976,0.1659,0.2976,0.1864
2,20.465923206655358,polynomial,1.7244802211066072e-05,3,8,"(16, 16)","(3, 3)",450,0.3039,0.1846,0.3039,0.1997
3,20.465923206655358,polynomial,1.7244802211066072e-05,3,8,"(16, 16)","(3, 3)",450,0.2639,0.1612,0.2639,0.2
4,20.465923206655358,polynomial,1.7244802211066072e-05,3,8,"(16, 16)","(3, 3)",450,0.3308,0.2115,0.3308,0.257
1,0.004965862927620935,rbf,0.014874728297217563,,8,"(24, 24)","(3, 3)",400,0.3126,0.4216,0.3126,0.21
2,0.004965862927620935,rbf,0.014874728297217563,,8,"(24, 24)","(3, 3)",400,0.3478,0.21,0.3478,0.2616
3,0.004965862927620935,rbf,0.014874728297217563,,8,"(24, 24)","(3, 3)",400,0.2585,0.1483,0.2585,0.1835
4,0.004965862927620935,rbf,0.014874728297217563,,8,"(24, 24)","(3, 3)",400,0.2771,0.1615,0.2772,0.2015
1,266.6699958923855,rbf,0.0005281016929315029,,7,"(16, 16)","(3, 3)",475,0.58,0.5675,0.58,0.5682
2,266.6699958923855,rbf,0.0005281016929315029,,7,"(16, 16)","(3, 3)",475,0.5671,0.5656,0.5671,0.5627
3,266.6699958923855,rbf,0.0005281016929315029,,7,"(16, 16)","(3, 3)",475,0.6506,0.6262,0.6506,0.6345
4,266.6699958923855,rbf,0.0005281016929315029,,7,"(16, 16)","(3, 3)",475,0.5423,0.5598,0.5423,0.5477
1,0.33423591948987913,linear,auto,,8,"(24, 24)","(2, 2)",300,0.5148,0.4884,0.5148,0.4852
2,0.33423591948987913,linear,auto,,8,"(24, 24)","(2, 2)",300,0.5592,0.5466,0.5592,0.5469
3,0.33423591948987913,linear,auto,,8,"(24, 24)","(2, 2)",300,0.5929,0.5767,0.5929,0.5834
4,0.33423591948987913,linear,auto,,8,"(24, 24)","(2, 2)",300,0.4852,0.4785,0.4852,0.4798
1,111.96439537509876,polynomial,0.0004896778424146783,3,8,"(12, 12)","(3, 3)",275,0.4878,0.4716,0.4878,0.473
2,111.96439537509876,polynomial,0.0004896778424146783,3,8,"(12, 12)","(3, 3)",275,0.4883,0.4982,0.4883,0.4922
3,111.96439537509876,polynomial,0.0004896778424146783,3,8,"(12, 12)","(3, 3)",275,0.4355,0.3442,0.4355,0.3841
4,111.96439537509876,polynomial,0.0004896778424146783,3,8,"(12, 12)","(3, 3)",275,0.3538,0.2756,0.3538,0.3097
1,676.0939184826705,rbf,0.02459158775873568,,6,"(12, 12)","(3, 3)",400,0.6269,0.6778,0.6269,0.6331
2,676.0939184826705,rbf,0.02459158775873568,,6,"(12, 12)","(3, 3)",400,0.6375,0.6734,0.6375,0.646
3,676.0939184826705,rbf,0.02459158775873568,,6,"(12, 12)","(3, 3)",400,0.6524,0.6685,0.6524,0.6512
4,676.0939184826705,rbf,0.02459158775873568,,6,"(12, 12)","(3, 3)",400,0.5768,0.6053,0.5768,0.5846
1,0.0037313257283556832,polynomial,0.004545809861636254,2,6,"(24, 24)","(3, 3)",375,0.3126,0.4245,0.3126,0.2101
2,0.0037313257283556832,polynomial,0.004545809861636254,2,6,"(24, 24)","(3, 3)",375,0.3501,0.2029,0.3501,0.254
3,0.0037313257283556832,polynomial,0.004545809861636254,2,6,"(24, 24)","(3, 3)",375,0.2473,0.1403,0.2473,0.1728
4,0.0037313257283556832,polynomial,0.004545809861636254,2,6,"(24, 24)","(3, 3)",375,0.2846,0.1674,0.2846,0.2094
1,0.06992189783252607,linear,auto,,7,"(12, 12)","(2, 2)",300,0.6057,0.5939,0.6057,0.5952
2,0.06992189783252607,linear,auto,,7,"(12, 12)","(2, 2)",300,0.5545,0.5408,0.5545,0.5412
3,0.06992189783252607,linear,auto,,7,"(12, 12)","(2, 2)",300,0.552,0.5318,0.552,0.5367
4,0.06992189783252607,linear,auto,,7,"(12, 12)","(2, 2)",300,0.5335,0.5356,0.5335,0.5314
1,0.7653227767175849,polynomial,0.04537846072048372,3,10,"(12, 12)","(2, 2)",250,0.6072,0.6041,0.6072,0.6041
2,0.7653227767175849,polynomial,0.04537846072048372,3,10,"(12, 12)","(2, 2)",250,0.6477,0.6299,0.6477,0.636
3,0.7653227767175849,polynomial,0.04537846072048372,3,10,"(12, 12)","(2, 2)",250,0.5892,0.5768,0.5893,0.5778
4,0.7653227767175849,polynomial,0.04537846072048372,3,10,"(12, 12)","(2, 2)",250,0.6174,0.6098,0.6175,0.6098
1,0.9682349553240613,linear,auto,,9,"(16, 16)","(3, 3)",450,0.5744,0.5767,0.5744,0.5697
2,0.9682349553240613,linear,auto,,9,"(16, 16)","(3, 3)",450,0.5843,0.5812,0.5843,0.5804
3,0.9682349553240613,linear,auto,,9,"(16, 16)","(3, 3)",450,0.5765,0.5572,0.5766,0.5629
4,0.9682349553240613,linear,auto,,9,"(16, 16)","(3, 3)",450,0.5449,0.5685,0.5449,0.5474
1,33.0428054715331,linear,auto,,7,"(16, 16)","(2, 2)",425,0.5499,0.5486,0.5499,0.5431
2,33.0428054715331,linear,auto,,7,"(16, 16)","(2, 2)",425,0.5434,0.5315,0.5434,0.5337
3,33.0428054715331,linear,auto,,7,"(16, 16)","(2, 2)",425,0.5349,0.5572,0.5349,0.5391
4,33.0428054715331,linear,auto,,7,"(16, 16)","(2, 2)",425,0.5427,0.542,0.5427,0.5385
1,150.59632921948472,polynomial,1.4605500608581713e-05,2,9,"(24, 24)","(3, 3)",425,0.3102,0.3342,0.3102,0.2076
2,150.59632921948472,polynomial,1.4605500608581713e-05,2,9,"(24, 24)","(3, 3)",425,0.3114,0.1727,0.3114,0.2061
3,150.59632921948472,polynomial,1.4605500608581713e-05,2,9,"(24, 24)","(3, 3)",425,0.2697,0.1564,0.2697,0.1939
4,150.59632921948472,polynomial,1.4605500608581713e-05,2,9,"(24, 24)","(3, 3)",425,0.2734,0.1588,0.2734,0.198
1,38.583319830223,linear,auto,,6,"(12, 12)","(2, 2)",300,0.552,0.5321,0.5519,0.5374
2,38.583319830223,linear,auto,,6,"(12, 12)","(2, 2)",300,0.5593,0.5409,0.5593,0.5442
3,38.583319830223,linear,auto,,6,"(12, 12)","(2, 2)",300,0.5444,0.5352,0.5444,0.5356
4,38.583319830223,linear,auto,,6,"(12, 12)","(2, 2)",300,0.495,0.503,0.4949,0.4923
1,0.006339471982583843,polynomial,0.0034949351331138375,4,7,"(12, 12)","(2, 2)",425,0.2586,0.3581,0.2586,0.1676
2,0.006339471982583843,polynomial,0.0034949351331138375,4,7,"(12, 12)","(2, 2)",425,0.25,0.1074,0.25,0.1502
3,0.006339471982583843,polynomial,0.0034949351331138375,4,7,"(12, 12)","(2, 2)",425,0.25,0.1074,0.25,0.1502
4,0.006339471982583843,polynomial,0.0034949351331138375,4,7,"(12, 12)","(2, 2)",425,0.25,0.1074,0.25,0.1502
1,553.7562752220668,polynomial,0.06716767114785299,4,8,"(12, 12)","(3, 3)",250,0.6452,0.6289,0.6452,0.6309
2,553.7562752220668,polynomial,0.06716767114785299,4,8,"(12, 12)","(3, 3)",250,0.6661,0.6405,0.6661,0.6498
3,553.7562752220668,polynomial,0.06716767114785299,4,8,"(12, 12)","(3, 3)",250,0.6556,0.619,0.6556,0.628
4,553.7562752220668,polynomial,0.06716767114785299,4,8,"(12, 12)","(3, 3)",250,0.6253,0.614,0.6253,0.618
1,91.38075798128872,rbf,0.013483311101200657,,7,"(16, 16)","(2, 2)",350,0.6274,0.6541,0.6274,0.6363
2,91.38075798128872,rbf,0.013483311101200657,,7,"(16, 16)","(2, 2)",350,0.6539,0.6739,0.6539,0.6626
3,91.38075798128872,rbf,0.013483311101200657,,7,"(16, 16)","(2, 2)",350,0.5772,0.589,0.5772,0.578
4,91.38075798128872,rbf,0.013483311101200657,,7,"(16, 16)","(2, 2)",350,0.6125,0.625,0.6125,0.616
1,0.01648882558027458,polynomial,0.011462759351117107,3,7,"(24, 24)","(2, 2)",375,0.3233,0.2013,0.3233,0.248
2,0.01648882558027458,polynomial,0.011462759351117107,3,7,"(24, 24)","(2, 2)",375,0.3029,0.2482,0.3029,0.2381
3,0.01648882558027458,polynomial,0.011462759351117107,3,7,"(24, 24)","(2, 2)",375,0.3015,0.2019,0.3014,0.2341
4,0.01648882558027458,polynomial,0.011462759351117107,3,7,"(24, 24)","(2, 2)",375,0.3201,0.2867,0.3201,0.2619
1,0.07490701396993929,rbf,0.0017510823065215674,,7,"(12, 12)","(2, 2)",300,0.3066,0.4337,0.3066,0.215
2,0.07490701396993929,rbf,0.0017510823065215674,,7,"(12, 12)","(2, 2)",300,0.3196,0.195,0.3196,0.242
3,0.07490701396993929,rbf,0.0017510823065215674,,7,"(12, 12)","(2, 2)",300,0.2261,0.1269,0.2261,0.1468
4,0.07490701396993929,rbf,0.0017510823065215674,,7,"(12, 12)","(2, 2)",300,0.2326,0.1369,0.2326,0.1688
1,161.71461829147748,rbf,2.0452149990862927e-05,,8,"(12, 12)","(2, 2)",350,0.4822,0.5749,0.4822,0.4972
2,161.71461829147748,rbf,2.0452149990862927e-05,,8,"(12, 12)","(2, 2)",350,0.5434,0.6488,0.5434,0.569
3,161.71461829147748,rbf,2.0452149990862927e-05,,8,"(12, 12)","(2, 2)",350,0.4226,0.5375,0.4226,0.4366
4,161.71461829147748,rbf,2.0452149990862927e-05,,8,"(12, 12)","(2, 2)",350,0.4834,0.585,0.4834,0.5055
1,1.3300364548990955,polynomial,0.00719606046443954,2,8,"(16, 16)","(2, 2)",300,0.5674,0.6112,0.5674,0.576
2,1.3300364548990955,polynomial,0.00719606046443954,2,8,"(16, 16)","(2, 2)",300,0.6074,0.6337,0.6074,0.6176
3,1.3300364548990955,polynomial,0.00719606046443954,2,8,"(16, 16)","(2, 2)",300,0.53,0.5738,0.53,0.5436
4,1.3300364548990955,polynomial,0.00719606046443954,2,8,"(16, 16)","(2, 2)",300,0.5444,0.5975,0.5443,0.5599
1,0.0011091898611299083,rbf,0.00022369859476622508,,10,"(16, 16)","(2, 2)",450,0.3246,0.4448,0.3246,0.256
2,0.0011091898611299083,rbf,0.00022369859476622508,,10,"(16, 16)","(2, 2)",450,0.3124,0.1987,0.3124,0.2414
3,0.0011091898611299083,rbf,0.00022369859476622508,,10,"(16, 16)","(2, 2)",450,0.2842,0.1889,0.2842,0.2173
4,0.0011091898611299083,rbf,0.00022369859476622508,,10,"(16, 16)","(2, 2)",450,0.3103,0.3084,0.3104,0.2486
1,22.68779969746947,linear,auto,,6,"(16, 16)","(3, 3)",400,0.5497,0.537,0.5498,0.537
2,22.68779969746947,linear,auto,,6,"(16, 16)","(3, 3)",400,0.6132,0.6049,0.6133,0.608
3,22.68779969746947,linear,auto,,6,"(16, 16)","(3, 3)",400,0.5763,0.5746,0.5763,0.5722
4,22.68779969746947,linear,auto,,6,"(16, 16)","(3, 3)",400,0.535,0.5474,0.535,0.5331
1,0.019079640417107007,linear,auto,,8,"(24, 24)","(2, 2)",375,0.48,0.5831,0.48,0.5013
2,0.019079640417107007,linear,auto,,8,"(24, 24)","(2, 2)",375,0.5298,0.599,0.5298,0.5502
3,0.019079640417107007,linear,auto,,8,"(24, 24)","(2, 2)",375,0.4539,0.482,0.4539,0.4586
4,0.019079640417107007,linear,auto,,8,"(24, 24)","(2, 2)",375,0.5009,0.5673,0.5009,0.5187
