fold,C,kernel,gamma,degree,orientation,pixels_per_cell,cell_per_block,num_of_balancing,Balanced Accuracy,Precision,Recall,F1 Score
1,0.37761164098199596,rbf,0.0001036307585219435,,9,"(16, 16)","(3, 3)",475,0.2778,0.1657,0.2778,0.1711
2,0.37761164098199596,rbf,0.0001036307585219435,,9,"(16, 16)","(3, 3)",475,0.2887,0.1866,0.2887,0.1649
3,0.37761164098199596,rbf,0.0001036307585219435,,9,"(16, 16)","(3, 3)",475,0.2361,0.1373,0.2361,0.1616
4,0.37761164098199596,rbf,0.0001036307585219435,,9,"(16, 16)","(3, 3)",475,0.3047,0.1876,0.3047,0.2322
1,0.02896226125343105,linear,auto,,8,"(12, 12)","(2, 2)",275,0.5677,0.5634,0.5676,0.5634
2,0.02896226125343105,linear,auto,,8,"(12, 12)","(2, 2)",275,0.6069,0.5895,0.607,0.5922
3,0.02896226125343105,linear,auto,,8,"(12, 12)","(2, 2)",275,0.5444,0.5349,0.5444,0.5353
4,0.02896226125343105,linear,auto,,8,"(12, 12)","(2, 2)",275,0.5499,0.544,0.5499,0.5427
1,1.1869636028162602,polynomial,5.8659085308817046e-05,3,10,"(24, 24)","(3, 3)",450,0.2739,0.3919,0.2739,0.1485
2,1.1869636028162602,polynomial,5.8659085308817046e-05,3,10,"(24, 24)","(3, 3)",450,0.2899,0.1788,0.2899,0.158
3,1.1869636028162602,polynomial,5.8659085308817046e-05,3,10,"(24, 24)","(3, 3)",450,0.241,0.1339,0.241,0.1623
4,1.1869636028162602,polynomial,5.8659085308817046e-05,3,10,"(24, 24)","(3, 3)",450,0.2597,0.1501,0.2596,0.1804
1,0.002619500991823964,rbf,0.0011201394046625713,,7,"(16, 16)","(3, 3)",325,0.3266,0.1904,0.3266,0.2327
2,0.002619500991823964,rbf,0.0011201394046625713,,7,"(16, 16)","(3, 3)",325,0.3369,0.2053,0.3368,0.255
3,0.002619500991823964,rbf,0.0011201394046625713,,7,"(16, 16)","(3, 3)",325,0.2459,0.1433,0.2459,0.1628
4,0.002619500991823964,rbf,0.0011201394046625713,,7,"(16, 16)","(3, 3)",325,0.2697,0.1564,0.2697,0.1939
1,0.017855982282744255,polynomial,2.10795052172271e-05,2,8,"(12, 12)","(2, 2)",425,0.2834,0.5484,0.2834,0.2138
2,0.017855982282744255,polynomial,2.10795052172271e-05,2,8,"(12, 12)","(2, 2)",425,0.25,0.1074,0.25,0.1502
3,0.017855982282744255,polynomial,2.10795052172271e-05,2,8,"(12, 12)","(2, 2)",425,0.2586,0.2338,0.2586,0.1677
4,0.017855982282744255,polynomial,2.10795052172271e-05,2,8,"(12, 12)","(2, 2)",425,0.25,0.1081,0.25,0.1509
1,519.4644024449819,linear,auto,,10,"(24, 24)","(2, 2)",375,0.5665,0.5462,0.5665,0.5452
2,519.4644024449819,linear,auto,,10,"(24, 24)","(2, 2)",375,0.58,0.5745,0.58,0.5724
3,519.4644024449819,linear,auto,,10,"(24, 24)","(2, 2)",375,0.5449,0.5317,0.5449,0.535
4,519.4644024449819,linear,auto,,10,"(24, 24)","(2, 2)",375,0.5309,0.5304,0.5308,0.5247
1,31.772892668956736,polynomial,0.058859806174256686,2,10,"(12, 12)","(2, 2)",325,0.6066,0.6036,0.6066,0.6017
2,31.772892668956736,polynomial,0.058859806174256686,2,10,"(12, 12)","(2, 2)",325,0.6051,0.5985,0.6052,0.6008
3,31.772892668956736,polynomial,0.058859806174256686,2,10,"(12, 12)","(2, 2)",325,0.6078,0.5896,0.6078,0.5946
4,31.772892668956736,polynomial,0.058859806174256686,2,10,"(12, 12)","(2, 2)",325,0.5929,0.6209,0.5929,0.6045
1,0.03160947837078526,polynomial,0.006027973448598274,3,10,"(16, 16)","(3, 3)",250,0.2576,0.2968,0.2576,0.0935
2,0.03160947837078526,polynomial,0.006027973448598274,3,10,"(16, 16)","(3, 3)",250,0.2575,0.214,0.2575,0.0939
3,0.03160947837078526,polynomial,0.006027973448598274,3,10,"(16, 16)","(3, 3)",250,0.2514,0.1312,0.2514,0.1099
4,0.03160947837078526,polynomial,0.006027973448598274,3,10,"(16, 16)","(3, 3)",250,0.2537,0.1721,0.2537,0.0865
1,207.83485006567003,polynomial,0.022444141445516333,4,10,"(16, 16)","(2, 2)",425,0.6603,0.6992,0.6604,0.6729
2,207.83485006567003,polynomial,0.022444141445516333,4,10,"(16, 16)","(2, 2)",425,0.6801,0.7065,0.6801,0.6916
3,207.83485006567003,polynomial,0.022444141445516333,4,10,"(16, 16)","(2, 2)",425,0.615,0.6455,0.615,0.6272
4,207.83485006567003,polynomial,0.022444141445516333,4,10,"(16, 16)","(2, 2)",425,0.6264,0.6801,0.6264,0.6444
1,30.02636202690839,polynomial,1.940554420930995e-05,4,6,"(12, 12)","(3, 3)",425,0.3141,0.4288,0.314,0.2214
2,30.02636202690839,polynomial,1.940554420930995e-05,4,6,"(12, 12)","(3, 3)",425,0.3039,0.1809,0.3039,0.1992
3,30.02636202690839,polynomial,1.940554420930995e-05,4,6,"(12, 12)","(3, 3)",425,0.2777,0.1736,0.2776,0.2132
4,30.02636202690839,polynomial,1.940554420930995e-05,4,6,"(12, 12)","(3, 3)",425,0.2923,0.1806,0.2924,0.2233
1,58.27276329906924,rbf,4.263805753824237e-05,,9,"(12, 12)","(3, 3)",450,0.5602,0.6348,0.5602,0.5843
2,58.27276329906924,rbf,4.263805753824237e-05,,9,"(12, 12)","(3, 3)",450,0.5859,0.6439,0.5859,0.6074
3,58.27276329906924,rbf,4.263805753824237e-05,,9,"(12, 12)","(3, 3)",450,0.5143,0.5594,0.5143,0.5272
4,58.27276329906924,rbf,4.263805753824237e-05,,9,"(12, 12)","(3, 3)",450,0.5324,0.6026,0.5324,0.5536
1,0.015982326804198154,linear,auto,,8,"(24, 24)","(2, 2)",425,0.4653,0.5631,0.4653,0.4864
2,0.015982326804198154,linear,auto,,8,"(24, 24)","(2, 2)",425,0.4907,0.5592,0.4907,0.5073
3,0.015982326804198154,linear,auto,,8,"(24, 24)","(2, 2)",425,0.4319,0.482,0.4319,0.443
4,0.015982326804198154,linear,auto,,8,"(24, 24)","(2, 2)",425,0.4836,0.5673,0.4836,0.503
1,0.8249109664948209,polynomial,0.012171304534310973,3,7,"(24, 24)","(3, 3)",500,0.5456,0.5698,0.5456,0.5553
2,0.8249109664948209,polynomial,0.012171304534310973,3,7,"(24, 24)","(3, 3)",500,0.5086,0.5322,0.5086,0.516
3,0.8249109664948209,polynomial,0.012171304534310973,3,7,"(24, 24)","(3, 3)",500,0.4667,0.486,0.4667,0.4734
4,0.8249109664948209,polynomial,0.012171304534310973,3,7,"(24, 24)","(3, 3)",500,0.4951,0.5022,0.4951,0.4967
1,15.41390576033903,polynomial,0.014214151928630573,3,9,"(12, 12)","(2, 2)",375,0.6167,0.6474,0.6166,0.6232
2,15.41390576033903,polynomial,0.014214151928630573,3,9,"(12, 12)","(2, 2)",375,0.6239,0.6329,0.6239,0.6277
3,15.41390576033903,polynomial,0.014214151928630573,3,9,"(12, 12)","(2, 2)",375,0.5999,0.5968,0.5999,0.5972
4,15.41390576033903,polynomial,0.014214151928630573,3,9,"(12, 12)","(2, 2)",375,0.5783,0.598,0.5783,0.5846
1,8.67820630197134,polynomial,0.00029188260114347477,4,8,"(12, 12)","(2, 2)",325,0.3136,0.1999,0.3136,0.243
2,8.67820630197134,polynomial,0.00029188260114347477,4,8,"(12, 12)","(2, 2)",325,0.2759,0.3595,0.2758,0.1992
3,8.67820630197134,polynomial,0.00029188260114347477,4,8,"(12, 12)","(2, 2)",325,0.2541,0.1566,0.2541,0.1938
4,8.67820630197134,polynomial,0.00029188260114347477,4,8,"(12, 12)","(2, 2)",325,0.3138,0.2234,0.3138,0.2486
1,271.2720063755522,rbf,0.03451005508714583,,10,"(12, 12)","(2, 2)",500,0.4932,0.6121,0.4932,0.4989
2,271.2720063755522,rbf,0.03451005508714583,,10,"(12, 12)","(2, 2)",500,0.4802,0.5915,0.4801,0.4913
3,271.2720063755522,rbf,0.03451005508714583,,10,"(12, 12)","(2, 2)",500,0.4956,0.5819,0.4956,0.482
4,271.2720063755522,rbf,0.03451005508714583,,10,"(12, 12)","(2, 2)",500,0.4789,0.5613,0.4789,0.4875
1,0.17569063091030068,rbf,0.014424725129188014,,8,"(12, 12)","(3, 3)",500,0.476,0.3909,0.476,0.4067
2,0.17569063091030068,rbf,0.014424725129188014,,8,"(12, 12)","(3, 3)",500,0.4793,0.5165,0.4792,0.3489
3,0.17569063091030068,rbf,0.014424725129188014,,8,"(12, 12)","(3, 3)",500,0.4237,0.3409,0.4238,0.347
4,0.17569063091030068,rbf,0.014424725129188014,,8,"(12, 12)","(3, 3)",500,0.3769,0.2795,0.3769,0.3064
1,1.6921791049515205,rbf,0.00010470234751802589,,6,"(16, 16)","(2, 2)",300,0.2903,0.1938,0.2902,0.2258
2,1.6921791049515205,rbf,0.00010470234751802589,,6,"(16, 16)","(2, 2)",300,0.2586,0.2338,0.2586,0.1677
3,1.6921791049515205,rbf,0.00010470234751802589,,6,"(16, 16)","(2, 2)",300,0.2791,0.1768,0.2791,0.2143
4,1.6921791049515205,rbf,0.00010470234751802589,,6,"(16, 16)","(2, 2)",300,0.2943,0.2378,0.2942,0.2272
1,0.20206832293140217,polynomial,0.003336054574613756,2,9,"(16, 16)","(3, 3)",325,0.3028,0.1779,0.3028,0.2024
2,0.20206832293140217,polynomial,0.003336054574613756,2,9,"(16, 16)","(3, 3)",325,0.3254,0.1915,0.3254,0.2348
3,0.20206832293140217,polynomial,0.003336054574613756,2,9,"(16, 16)","(3, 3)",325,0.2459,0.1433,0.2459,0.1628
4,0.20206832293140217,polynomial,0.003336054574613756,2,9,"(16, 16)","(3, 3)",325,0.2697,0.1567,0.2697,0.1937
1,52.37766956553052,rbf,1.3409584287503571e-05,,8,"(24, 24)","(2, 2)",500,0.3093,0.1816,0.3093,0.2233
2,52.37766956553052,rbf,1.3409584287503571e-05,,8,"(24, 24)","(2, 2)",500,0.3128,0.1849,0.3128,0.2164
3,52.37766956553052,rbf,1.3409584287503571e-05,,8,"(24, 24)","(2, 2)",500,0.2828,0.18,0.2828,0.2173
4,52.37766956553052,rbf,1.3409584287503571e-05,,8,"(24, 24)","(2, 2)",500,0.2814,0.1783,0.2814,0.2172
1,640.7618855804105,polynomial,2.6949089122736144e-05,3,8,"(16, 16)","(2, 2)",425,0.25,0.1074,0.25,0.1502
2,640.7618855804105,polynomial,2.6949089122736144e-05,3,8,"(16, 16)","(2, 2)",425,0.25,0.1074,0.25,0.1502
3,640.7618855804105,polynomial,2.6949089122736144e-05,3,8,"(16, 16)","(2, 2)",425,0.25,0.1074,0.25,0.1502
4,640.7618855804105,polynomial,2.6949089122736144e-05,3,8,"(16, 16)","(2, 2)",425,0.25,0.1074,0.25,0.1502
1,15.843847043980649,polynomial,0.0017938406877868688,3,9,"(24, 24)","(3, 3)",300,0.3138,0.4253,0.3138,0.206
2,15.843847043980649,polynomial,0.0017938406877868688,3,9,"(24, 24)","(3, 3)",300,0.3137,0.1734,0.3137,0.1984
3,15.843847043980649,polynomial,0.0017938406877868688,3,9,"(24, 24)","(3, 3)",300,0.2433,0.1359,0.2433,0.1548
4,15.843847043980649,polynomial,0.0017938406877868688,3,9,"(24, 24)","(3, 3)",300,0.2284,0.1193,0.2284,0.1382
1,0.005521884886626043,polynomial,0.0018245197855003327,3,8,"(24, 24)","(3, 3)",500,0.2813,0.1509,0.2812,0.1538
2,0.005521884886626043,polynomial,0.0018245197855003327,3,8,"(24, 24)","(3, 3)",500,0.2712,0.1564,0.2712,0.1308
3,0.005521884886626043,polynomial,0.0018245197855003327,3,8,"(24, 24)","(3, 3)",500,0.241,0.1345,0.241,0.1622
4,0.005521884886626043,polynomial,0.0018245197855003327,3,8,"(24, 24)","(3, 3)",500,0.2459,0.1368,0.2459,0.1625
1,988.9935307697748,linear,auto,,8,"(12, 12)","(3, 3)",300,0.5706,0.5581,0.5706,0.5593
2,988.9935307697748,linear,auto,,8,"(12, 12)","(3, 3)",300,0.5996,0.5736,0.5996,0.5756
3,988.9935307697748,linear,auto,,8,"(12, 12)","(3, 3)",300,0.5532,0.5302,0.5532,0.5348
4,988.9935307697748,linear,auto,,8,"(12, 12)","(3, 3)",300,0.529,0.5217,0.529,0.5199
