C,kernel,gamma,degree,num_of_balancing,Balanced Accuracy,Precision,Recall,F1 Score
2.1591822476333187,rbf,0.010815389557983867,nan,350,0.25,0.0617,0.25,0.0963
2.6938213949790084,polynomial,0.0004738311895658672,4.0,350,0.5815,0.5817,0.5816,0.5741
236.53961642485896,polynomial,0.0008034452204916076,3.0,350,0.6225,0.6094,0.6226,0.6096
279.08677456370657,rbf,2.717209566879533e-05,nan,275,0.664,0.629,0.664,0.6368
3.6319277504504246,linear,auto,nan,450,0.6407,0.6214,0.6407,0.6259
3.739919377431746,linear,auto,nan,275,0.6521,0.6124,0.6521,0.6212
3.742492951134056,linear,auto,nan,300,0.6437,0.623,0.6438,0.6237
3.801694011679265,polynomial,0.00010376059722093819,4.0,300,0.5921,0.5729,0.5921,0.5756
30.621365226654863,polynomial,0.009324858658343687,2.0,450,0.639,0.6208,0.639,0.6258
37.25831682737545,linear,auto,nan,375,0.6237,0.6123,0.6238,0.6133
378.3513387997786,rbf,0.000657818684371242,nan,475,0.4812,0.5978,0.4812,0.5032
393.6131381534366,linear,auto,nan,325,0.634,0.6148,0.634,0.6166
4.702221229752233,linear,auto,nan,400,0.6274,0.6131,0.6274,0.616
4.949483955884714,linear,auto,nan,300,0.6437,0.623,0.6438,0.6237
44.0956838461261,polynomial,0.044836102755385264,4.0,500,0.6039,0.5994,0.6039,0.5929
44.715214883355465,linear,auto,nan,375,0.6237,0.6123,0.6238,0.6133
48.06094064655551,polynomial,0.09021521126380012,3.0,450,0.6062,0.5997,0.6062,0.5999
489.97753731274383,polynomial,1.5660235878179564e-05,4.0,250,0.6002,0.5688,0.6002,0.5723
5.539854001029745,rbf,0.0008162714414632407,nan,400,0.4348,0.6405,0.4348,0.4543
5.859358273079849,polynomial,0.02230388006280473,3.0,425,0.6276,0.6277,0.6276,0.6222
6.764433839046723,rbf,0.00378052926919528,nan,350,0.2588,0.2958,0.2588,0.1678
62.21611361035139,polynomial,0.023126526940095014,3.0,400,0.6131,0.6023,0.6131,0.6029
64.6699933684854,linear,auto,nan,475,0.6637,0.6559,0.6637,0.6536
67.2577258114526,rbf,0.020099446071107013,nan,400,0.25,0.0465,0.25,0.0784
74.31512068175344,polynomial,0.00021232494203235155,4.0,350,0.5815,0.5817,0.5816,0.5741
75.68561062845393,linear,auto,nan,275,0.6521,0.6124,0.6521,0.6212
8.287002386497855,linear,auto,nan,475,0.6637,0.6559,0.6637,0.6536
88.18144779967744,polynomial,0.008764385543400123,2.0,450,0.639,0.6208,0.639,0.6258
9.574077554261404,polynomial,1.0444742290910838e-05,4.0,250,0.4081,0.4477,0.4081,0.367
999.6174695091768,linear,auto,nan,500,0.6456,0.6316,0.6456,0.633
