fold,num_of_balancing,dropout_rate,batch_size,learning_rate,optimizer,num_conv_blocks,conv2d_filters,Epoch,Balanced Accuracy,Precision,Recall,F1 Score
2,400,0.2867306710052174,16,0.0004873883691612,rmsprop,6,"[48, 96, 160, 192, 384, 512]",30,0.9249,0.9228,0.925,0.9236
3,400,0.2867306710052174,16,0.0004873883691612,rmsprop,6,"[48, 96, 160, 192, 384, 512]",34,0.9217,0.9215,0.9217,0.92
4,400,0.2867306710052174,16,0.0004873883691612,rmsprop,6,"[48, 96, 160, 192, 384, 512]",35,0.9569,0.9506,0.957,0.9536
1,250,0.2106727953816496,8,7.845771933593588e-05,rmsprop,4,"[64, 96, 192, 192, 256, 320]",36,0.8963,0.8807,0.8964,0.8871
2,250,0.2106727953816496,8,7.845771933593588e-05,rmsprop,4,"[64, 96, 192, 192, 256, 320]",18,0.8474,0.847,0.8474,0.8471
3,250,0.2106727953816496,8,7.845771933593588e-05,rmsprop,4,"[64, 96, 192, 192, 256, 320]",41,0.8863,0.8687,0.8863,0.872
4,250,0.2106727953816496,8,7.845771933593588e-05,rmsprop,4,"[64, 96, 192, 192, 256, 320]",35,0.897,0.8579,0.897,0.8725
1,500,0.3316622070043765,8,8.995545138853484e-05,rmsprop,5,"[48, 112, 112, 112, 240, 272]",32,0.972,0.9694,0.972,0.9704
2,500,0.3316622070043765,8,8.995545138853484e-05,rmsprop,5,"[48, 112, 112, 112, 240, 272]",34,0.9329,0.9365,0.9329,0.9342
3,500,0.3316622070043765,8,8.995545138853484e-05,rmsprop,5,"[48, 112, 112, 112, 240, 272]",37,0.9254,0.9303,0.9254,0.9268
4,500,0.3316622070043765,8,8.995545138853484e-05,rmsprop,5,"[48, 112, 112, 112, 240, 272]",20,0.9441,0.927,0.944,0.9341
1,350,0.2803344088509555,8,0.0002322918599882,rmsprop,3,"[64, 112, 144, 208, 336, 400]",30,0.8794,0.8782,0.8794,0.8787
2,350,0.2803344088509555,8,0.0002322918599882,rmsprop,3,"[64, 112, 144, 208, 336, 400]",32,0.8583,0.8549,0.8583,0.8527
3,350,0.2803344088509555,8,0.0002322918599882,rmsprop,3,"[64, 112, 144, 208, 336, 400]",36,0.8297,0.8132,0.8297,0.8185
4,350,0.2803344088509555,8,0.0002322918599882,rmsprop,3,"[64, 112, 144, 208, 336, 400]",22,0.8987,0.8903,0.8987,0.8942
1,425,0.2946703959149426,32,0.0002585863386527,adam,6,"[32, 80, 240, 240, 464, 464]",71,0.9212,0.9302,0.9212,0.9251
2,425,0.2946703959149426,32,0.0002585863386527,adam,6,"[32, 80, 240, 240, 464, 464]",64,0.8801,0.8844,0.8801,0.8797
3,425,0.2946703959149426,32,0.0002585863386527,adam,6,"[32, 80, 240, 240, 464, 464]",54,0.9205,0.9302,0.9206,0.9248
4,425,0.2946703959149426,32,0.0002585863386527,adam,6,"[32, 80, 240, 240, 464, 464]",43,0.9059,0.9054,0.9058,0.9044
1,475,0.37305065481172,8,4.0514664189730334e-05,adam,3,"[48, 64, 128, 192, 480, 512]",24,0.8803,0.8738,0.8803,0.8757
2,475,0.37305065481172,8,4.0514664189730334e-05,adam,3,"[48, 64, 128, 192, 480, 512]",47,0.8546,0.866,0.8546,0.8598
3,475,0.37305065481172,8,4.0514664189730334e-05,adam,3,"[48, 64, 128, 192, 480, 512]",32,0.8357,0.8502,0.8356,0.8376
4,475,0.37305065481172,8,4.0514664189730334e-05,adam,3,"[48, 64, 128, 192, 480, 512]",36,0.8235,0.8492,0.8235,0.8319
1,275,0.334940422145168,16,5.979783219629333e-05,rmsprop,5,"[16, 96, 96, 192, 416, 448]",47,0.9104,0.9135,0.9104,0.9094
2,275,0.334940422145168,16,5.979783219629333e-05,rmsprop,5,"[16, 96, 96, 192, 416, 448]",52,0.9055,0.892,0.9055,0.8981
3,275,0.334940422145168,16,5.979783219629333e-05,rmsprop,5,"[16, 96, 96, 192, 416, 448]",66,0.9403,0.9174,0.9403,0.9272
4,275,0.334940422145168,16,5.979783219629333e-05,rmsprop,5,"[16, 96, 96, 192, 416, 448]",46,0.9011,0.8951,0.9011,0.8973
1,450,0.3592710267424585,16,1.8489888156072188e-05,rmsprop,5,"[16, 112, 144, 208, 336, 464]",72,0.9011,0.9292,0.9012,0.9138
2,450,0.3592710267424585,16,1.8489888156072188e-05,rmsprop,5,"[16, 112, 144, 208, 336, 464]",74,0.8849,0.868,0.8849,0.8756
3,450,0.3592710267424585,16,1.8489888156072188e-05,rmsprop,5,"[16, 112, 144, 208, 336, 464]",76,0.943,0.927,0.943,0.9336
4,450,0.3592710267424585,16,1.8489888156072188e-05,rmsprop,5,"[16, 112, 144, 208, 336, 464]",82,0.914,0.9274,0.914,0.9175
1,375,0.2344518222678703,32,2.280944075385417e-05,rmsprop,3,"[64, 96, 224, 224, 256, 448]",79,0.8681,0.8773,0.8681,0.8723
2,375,0.2344518222678703,32,2.280944075385417e-05,rmsprop,3,"[64, 96, 224, 224, 256, 448]",43,0.8324,0.799,0.8324,0.8123
3,375,0.2344518222678703,32,2.280944075385417e-05,rmsprop,3,"[64, 96, 224, 224, 256, 448]",68,0.8469,0.8218,0.8469,0.8292
4,375,0.2344518222678703,32,2.280944075385417e-05,rmsprop,3,"[64, 96, 224, 224, 256, 448]",67,0.8152,0.798,0.8152,0.8042
1,400,0.3152300620277681,16,0.0001134818989537,adam,3,"[16, 32, 64, 160, 320, 416]",45,0.8483,0.8224,0.8483,0.8322
2,400,0.3152300620277681,16,0.0001134818989537,adam,3,"[16, 32, 64, 160, 320, 416]",39,0.834,0.8372,0.834,0.8355
3,400,0.3152300620277681,16,0.0001134818989537,adam,3,"[16, 32, 64, 160, 320, 416]",56,0.8189,0.8243,0.8189,0.8178
4,400,0.3152300620277681,16,0.0001134818989537,adam,3,"[16, 32, 64, 160, 320, 416]",43,0.8058,0.8185,0.8058,0.8094
1,325,0.2891508883453748,32,0.0007506888556262,adam,4,"[64, 96, 160, 224, 352, 384]",41,0.7194,0.7016,0.7194,0.7089
2,325,0.2891508883453748,32,0.0007506888556262,adam,4,"[64, 96, 160, 224, 352, 384]",38,0.8573,0.8308,0.8573,0.8407
3,325,0.2891508883453748,32,0.0007506888556262,adam,4,"[64, 96, 160, 224, 352, 384]",30,0.879,0.8699,0.879,0.8735
4,325,0.2891508883453748,32,0.0007506888556262,adam,4,"[64, 96, 160, 224, 352, 384]",46,0.8357,0.8488,0.8357,0.836
1,475,0.2817257919066546,8,0.0002279582902228,adam,6,"[16, 32, 192, 192, 224, 448]",22,0.9352,0.9459,0.9352,0.9399
2,475,0.2817257919066546,8,0.0002279582902228,adam,6,"[16, 32, 192, 192, 224, 448]",21,0.8935,0.8794,0.8936,0.8854
3,475,0.2817257919066546,8,0.0002279582902228,adam,6,"[16, 32, 192, 192, 224, 448]",24,0.9607,0.9573,0.9607,0.959
4,475,0.2817257919066546,8,0.0002279582902228,adam,6,"[16, 32, 192, 192, 224, 448]",26,0.9494,0.9396,0.9494,0.9443
1,275,0.3022390702263972,8,0.0003397205329856,rmsprop,6,"[16, 48, 176, 240, 464, 464]",17,0.9085,0.9033,0.9085,0.9055
2,275,0.3022390702263972,8,0.0003397205329856,rmsprop,6,"[16, 48, 176, 240, 464, 464]",26,0.9123,0.9122,0.9123,0.911
3,275,0.3022390702263972,8,0.0003397205329856,rmsprop,6,"[16, 48, 176, 240, 464, 464]",32,0.9645,0.9519,0.9645,0.9575
4,275,0.3022390702263972,8,0.0003397205329856,rmsprop,6,"[16, 48, 176, 240, 464, 464]",17,0.9459,0.9518,0.9459,0.9484
1,375,0.4447842406930743,32,5.755210248933142e-05,adam,6,"[32, 80, 208, 208, 208, 208]",48,0.9067,0.9233,0.9067,0.9144
2,375,0.4447842406930743,32,5.755210248933142e-05,adam,6,"[32, 80, 208, 208, 208, 208]",59,0.873,0.864,0.873,0.8682
3,375,0.4447842406930743,32,5.755210248933142e-05,adam,6,"[32, 80, 208, 208, 208, 208]",57,0.9217,0.9172,0.9217,0.9187
4,375,0.4447842406930743,32,5.755210248933142e-05,adam,6,"[32, 80, 208, 208, 208, 208]",54,0.9271,0.9288,0.9271,0.9273
1,475,0.2405063763168033,16,0.00062833174264,adam,3,"[48, 48, 80, 112, 304, 368]",18,0.8633,0.8783,0.8633,0.8692
2,475,0.2405063763168033,16,0.00062833174264,adam,3,"[48, 48, 80, 112, 304, 368]",27,0.8547,0.8525,0.8547,0.8533
3,475,0.2405063763168033,16,0.00062833174264,adam,3,"[48, 48, 80, 112, 304, 368]",31,0.9105,0.8901,0.9105,0.899
4,475,0.2405063763168033,16,0.00062833174264,adam,3,"[48, 48, 80, 112, 304, 368]",21,0.8732,0.8525,0.8732,0.8615
1,400,0.2400101219857332,32,1.0173452911686954e-05,rmsprop,5,"[16, 16, 112, 144, 240, 336]",65,0.6998,0.6613,0.6998,0.651
2,400,0.2400101219857332,32,1.0173452911686954e-05,rmsprop,5,"[16, 16, 112, 144, 240, 336]",109,0.7847,0.7498,0.7847,0.757
3,400,0.2400101219857332,32,1.0173452911686954e-05,rmsprop,5,"[16, 16, 112, 144, 240, 336]",44,0.675,0.6675,0.675,0.6542
4,400,0.2400101219857332,32,1.0173452911686954e-05,rmsprop,5,"[16, 16, 112, 144, 240, 336]",63,0.6997,0.6411,0.6998,0.6494
1,325,0.3868943413006155,8,0.0001371704429765,adam,6,"[64, 96, 256, 256, 448, 512]",22,0.9646,0.947,0.9646,0.953
2,325,0.3868943413006155,8,0.0001371704429765,adam,6,"[64, 96, 256, 256, 448, 512]",29,0.9369,0.9442,0.9369,0.9403
3,325,0.3868943413006155,8,0.0001371704429765,adam,6,"[64, 96, 256, 256, 448, 512]",18,0.9364,0.9258,0.9364,0.9302
4,325,0.3868943413006155,8,0.0001371704429765,adam,6,"[64, 96, 256, 256, 448, 512]",18,0.9538,0.943,0.9538,0.9481
1,275,0.2048115923300502,32,0.0002387566403426,rmsprop,3,"[16, 80, 144, 144, 272, 464]",40,0.8252,0.813,0.8252,0.8006
2,275,0.2048115923300502,32,0.0002387566403426,rmsprop,3,"[16, 80, 144, 144, 272, 464]",43,0.8754,0.8644,0.8754,0.8696
3,275,0.2048115923300502,32,0.0002387566403426,rmsprop,3,"[16, 80, 144, 144, 272, 464]",27,0.8226,0.8014,0.8226,0.8095
4,275,0.2048115923300502,32,0.0002387566403426,rmsprop,3,"[16, 80, 144, 144, 272, 464]",22,0.827,0.8395,0.827,0.8295
1,400,0.4932248706789557,32,0.0001205883638732,rmsprop,4,"[64, 80, 80, 176, 432, 496]",50,0.9071,0.901,0.9071,0.8997
2,400,0.4932248706789557,32,0.0001205883638732,rmsprop,4,"[64, 80, 80, 176, 432, 496]",71,0.9427,0.9506,0.9426,0.9462
3,400,0.4932248706789557,32,0.0001205883638732,rmsprop,4,"[64, 80, 80, 176, 432, 496]",39,0.9114,0.9119,0.9114,0.9092
4,400,0.4932248706789557,32,0.0001205883638732,rmsprop,4,"[64, 80, 80, 176, 432, 496]",51,0.8999,0.9232,0.8998,0.9102
1,250,0.4148331221229076,16,0.0002426188356345,adam,3,"[48, 64, 96, 192, 480, 512]",21,0.8351,0.8133,0.8351,0.8132
2,250,0.4148331221229076,16,0.0002426188356345,adam,3,"[48, 64, 96, 192, 480, 512]",27,0.8242,0.8294,0.8242,0.8242
3,250,0.4148331221229076,16,0.0002426188356345,adam,3,"[48, 64, 96, 192, 480, 512]",30,0.8522,0.8351,0.8522,0.8398
4,250,0.4148331221229076,16,0.0002426188356345,adam,3,"[48, 64, 96, 192, 480, 512]",36,0.8282,0.8303,0.8282,0.8246
1,500,0.4752486000744957,32,1.2922080532412252e-05,rmsprop,6,"[32, 96, 224, 224, 224, 256]",81,0.7871,0.7369,0.7871,0.7377
2,500,0.4752486000744957,32,1.2922080532412252e-05,rmsprop,6,"[32, 96, 224, 224, 224, 256]",13,0.6377,0.6278,0.6377,0.622
3,500,0.4752486000744957,32,1.2922080532412252e-05,rmsprop,6,"[32, 96, 224, 224, 224, 256]",248,0.8562,0.8256,0.8562,0.8318
4,500,0.4752486000744957,32,1.2922080532412252e-05,rmsprop,6,"[32, 96, 224, 224, 224, 256]",128,0.8331,0.8122,0.8331,0.8159
1,275,0.4995212960708096,32,0.0001398610926602,rmsprop,6,"[64, 112, 240, 240, 240, 240]",42,0.9533,0.929,0.9533,0.9385
2,275,0.4995212960708096,32,0.0001398610926602,rmsprop,6,"[64, 112, 240, 240, 240, 240]",51,0.9332,0.9376,0.9332,0.9348
3,275,0.4995212960708096,32,0.0001398610926602,rmsprop,6,"[64, 112, 240, 240, 240, 240]",52,0.9105,0.8922,0.9105,0.8983
4,275,0.4995212960708096,32,0.0001398610926602,rmsprop,6,"[64, 112, 240, 240, 240, 240]",58,0.9499,0.9569,0.9499,0.9528
1,425,0.3262341079803447,16,3.995949377090058e-05,rmsprop,4,"[32, 80, 240, 240, 304, 464]",40,0.8846,0.8628,0.8846,0.8689
2,425,0.3262341079803447,16,3.995949377090058e-05,rmsprop,4,"[32, 80, 240, 240, 304, 464]",48,0.9254,0.9174,0.9254,0.9203
3,425,0.3262341079803447,16,3.995949377090058e-05,rmsprop,4,"[32, 80, 240, 240, 304, 464]",59,0.9011,0.891,0.9011,0.8942
4,425,0.3262341079803447,16,3.995949377090058e-05,rmsprop,4,"[32, 80, 240, 240, 304, 464]",56,0.8726,0.9279,0.8726,0.8941
1,475,0.446836510082687,8,8.206492780879573e-05,adam,5,"[16, 80, 112, 176, 432, 496]",22,0.9552,0.942,0.9552,0.9471
2,475,0.446836510082687,8,8.206492780879573e-05,adam,5,"[16, 80, 112, 176, 432, 496]",26,0.9464,0.9594,0.9464,0.9525
3,475,0.446836510082687,8,8.206492780879573e-05,adam,5,"[16, 80, 112, 176, 432, 496]",23,0.9421,0.9345,0.9422,0.9376
4,475,0.446836510082687,8,8.206492780879573e-05,adam,5,"[16, 80, 112, 176, 432, 496]",26,0.9735,0.981,0.9736,0.977
1,375,0.3363895810652842,16,0.0004266872646749,rmsprop,3,"[32, 96, 96, 128, 192, 384]",21,0.8551,0.8475,0.855,0.8434
2,375,0.3363895810652842,16,0.0004266872646749,rmsprop,3,"[32, 96, 96, 128, 192, 384]",29,0.9057,0.8828,0.9057,0.8905
3,375,0.3363895810652842,16,0.0004266872646749,rmsprop,3,"[32, 96, 96, 128, 192, 384]",33,0.8522,0.8341,0.8522,0.8406
4,375,0.3363895810652842,16,0.0004266872646749,rmsprop,3,"[32, 96, 96, 128, 192, 384]",23,0.8457,0.8639,0.8457,0.8523
1,425,0.2787621684234013,32,3.2475921828023674e-05,adam,6,"[16, 32, 160, 224, 384, 448]",61,0.9269,0.9154,0.9269,0.917
2,425,0.2787621684234013,32,3.2475921828023674e-05,adam,6,"[16, 32, 160, 224, 384, 448]",61,0.9522,0.9394,0.9522,0.9447
3,425,0.2787621684234013,32,3.2475921828023674e-05,adam,6,"[16, 32, 160, 224, 384, 448]",55,0.9121,0.8974,0.9121,0.9022
4,425,0.2787621684234013,32,3.2475921828023674e-05,adam,6,"[16, 32, 160, 224, 384, 448]",67,0.9341,0.9543,0.934,0.9435
1,400,0.3772982339808762,8,0.0003527538995692,rmsprop,4,"[64, 64, 64, 192, 192, 288]",15,0.9405,0.9449,0.9405,0.9417
2,400,0.3772982339808762,8,0.0003527538995692,rmsprop,4,"[64, 64, 64, 192, 192, 288]",35,0.9166,0.9364,0.9166,0.9255
3,400,0.3772982339808762,8,0.0003527538995692,rmsprop,4,"[64, 64, 64, 192, 192, 288]",22,0.9367,0.9351,0.9368,0.9353
4,400,0.3772982339808762,8,0.0003527538995692,rmsprop,4,"[64, 64, 64, 192, 192, 288]",21,0.9371,0.966,0.9372,0.9502
1,350,0.4486544864677917,32,4.36839278577948e-05,rmsprop,5,"[16, 16, 208, 240, 368, 496]",78,0.8264,0.8115,0.8264,0.8104
2,350,0.4486544864677917,32,4.36839278577948e-05,rmsprop,5,"[16, 16, 208, 240, 368, 496]",94,0.9418,0.9348,0.9418,0.9377
3,350,0.4486544864677917,32,4.36839278577948e-05,rmsprop,5,"[16, 16, 208, 240, 368, 496]",92,0.8829,0.8711,0.8829,0.8749
4,350,0.4486544864677917,32,4.36839278577948e-05,rmsprop,5,"[16, 16, 208, 240, 368, 496]",103,0.8946,0.9155,0.8946,0.9026
1,350,0.3783172165566463,8,0.0001048128120468,adam,6,"[48, 48, 176, 176, 176, 464]",35,0.9064,0.8765,0.9064,0.8893
2,350,0.3783172165566463,8,0.0001048128120468,adam,6,"[48, 48, 176, 176, 176, 464]",28,0.8942,0.8937,0.8942,0.8934
3,350,0.3783172165566463,8,0.0001048128120468,adam,6,"[48, 48, 176, 176, 176, 464]",22,0.9247,0.9203,0.9246,0.9224
4,350,0.3783172165566463,8,0.0001048128120468,adam,6,"[48, 48, 176, 176, 176, 464]",25,0.8774,0.8764,0.8774,0.8766
1,450,0.2350988934254635,32,0.0001497050487749,adam,4,"[64, 64, 128, 128, 512, 512]",30,0.878,0.8724,0.878,0.8746
2,450,0.2350988934254635,32,0.0001497050487749,adam,4,"[64, 64, 128, 128, 512, 512]",47,0.8754,0.9072,0.8754,0.8884
3,450,0.2350988934254635,32,0.0001497050487749,adam,4,"[64, 64, 128, 128, 512, 512]",36,0.8697,0.8894,0.8698,0.8786
4,450,0.2350988934254635,32,0.0001497050487749,adam,4,"[64, 64, 128, 128, 512, 512]",39,0.8888,0.884,0.8888,0.8846
1,325,0.4428807228965506,16,0.0002926328407913,rmsprop,3,"[32, 80, 144, 240, 400, 432]",22,0.8803,0.8847,0.8802,0.876
2,325,0.4428807228965506,16,0.0002926328407913,rmsprop,3,"[32, 80, 144, 240, 400, 432]",25,0.829,0.8028,0.829,0.8138
3,325,0.4428807228965506,16,0.0002926328407913,rmsprop,3,"[32, 80, 144, 240, 400, 432]",15,0.8239,0.7922,0.8239,0.8048
4,325,0.4428807228965506,16,0.0002926328407913,rmsprop,3,"[32, 80, 144, 240, 400, 432]",38,0.8771,0.853,0.877,0.8596
1,325,0.3599201508613195,16,4.643777593989025e-05,adam,5,"[64, 64, 192, 224, 384, 512]",30,0.8875,0.8638,0.8875,0.872
2,325,0.3599201508613195,16,4.643777593989025e-05,adam,5,"[64, 64, 192, 224, 384, 512]",47,0.8462,0.8407,0.8462,0.843
3,325,0.3599201508613195,16,4.643777593989025e-05,adam,5,"[64, 64, 192, 224, 384, 512]",42,0.8998,0.8863,0.8998,0.8921
4,325,0.3599201508613195,16,4.643777593989025e-05,adam,5,"[64, 64, 192, 224, 384, 512]",27,0.8764,0.8756,0.8764,0.875
1,350,0.2624796237470418,8,1.4040717166116169e-05,adam,4,"[16, 48, 208, 208, 208, 464]",49,0.8216,0.8027,0.8216,0.81
2,350,0.2624796237470418,8,1.4040717166116169e-05,adam,4,"[16, 48, 208, 208, 208, 464]",28,0.7694,0.8167,0.7694,0.7719
3,350,0.2624796237470418,8,1.4040717166116169e-05,adam,4,"[16, 48, 208, 208, 208, 464]",34,0.7747,0.8248,0.7746,0.7912
4,350,0.2624796237470418,8,1.4040717166116169e-05,adam,4,"[16, 48, 208, 208, 208, 464]",65,0.8021,0.809,0.8021,0.801
1,475,0.3982503355704287,16,4.909606474695534e-05,adam,4,"[32, 112, 112, 176, 336, 496]",44,0.8921,0.8783,0.8922,0.8844
2,475,0.3982503355704287,16,4.909606474695534e-05,adam,4,"[32, 112, 112, 176, 336, 496]",45,0.8609,0.8755,0.8609,0.8654
3,475,0.3982503355704287,16,4.909606474695534e-05,adam,4,"[32, 112, 112, 176, 336, 496]",37,0.8548,0.863,0.8548,0.858
4,475,0.3982503355704287,16,4.909606474695534e-05,adam,4,"[32, 112, 112, 176, 336, 496]",54,0.8879,0.8732,0.8879,0.8779
1,400,0.3108556187555007,16,6.822819205863061e-05,rmsprop,6,"[16, 64, 192, 192, 320, 416]",57,0.8087,0.8302,0.8087,0.8157
2,400,0.3108556187555007,16,6.822819205863061e-05,rmsprop,6,"[16, 64, 192, 192, 320, 416]",41,0.9096,0.8983,0.9096,0.9036
3,400,0.3108556187555007,16,6.822819205863061e-05,rmsprop,6,"[16, 64, 192, 192, 320, 416]",45,0.9311,0.9132,0.9311,0.9194
4,400,0.3108556187555007,16,6.822819205863061e-05,rmsprop,6,"[16, 64, 192, 192, 320, 416]",35,0.8739,0.8659,0.8739,0.8688
1,350,0.2525686666180637,16,1.1222843154789906e-05,rmsprop,3,"[32, 48, 80, 112, 240, 432]",54,0.7588,0.8149,0.7588,0.7658
2,350,0.2525686666180637,16,1.1222843154789906e-05,rmsprop,3,"[32, 48, 80, 112, 240, 432]",72,0.7519,0.74,0.7519,0.7334
3,350,0.2525686666180637,16,1.1222843154789906e-05,rmsprop,3,"[32, 48, 80, 112, 240, 432]",54,0.8004,0.811,0.8004,0.7967
4,350,0.2525686666180637,16,1.1222843154789906e-05,rmsprop,3,"[32, 48, 80, 112, 240, 432]",59,0.7859,0.7651,0.7859,0.7664
1,375,0.2939045359044778,32,0.0001866410406593,adam,5,"[32, 112, 208, 240, 336, 368]",34,0.8615,0.8721,0.8614,0.8655
2,375,0.2939045359044778,32,0.0001866410406593,adam,5,"[32, 112, 208, 240, 336, 368]",29,0.8938,0.8974,0.8938,0.8951
3,375,0.2939045359044778,32,0.0001866410406593,adam,5,"[32, 112, 208, 240, 336, 368]",27,0.8434,0.8647,0.8434,0.8517
4,375,0.2939045359044778,32,0.0001866410406593,adam,5,"[32, 112, 208, 240, 336, 368]",31,0.8547,0.8545,0.8547,0.8545
1,450,0.2436527858967741,8,2.757046273371769e-05,adam,5,"[64, 128, 224, 256, 512, 512]",29,0.9085,0.913,0.9085,0.9104
2,450,0.2436527858967741,8,2.757046273371769e-05,adam,5,"[64, 128, 224, 256, 512, 512]",32,0.9343,0.9328,0.9342,0.933
3,450,0.2436527858967741,8,2.757046273371769e-05,adam,5,"[64, 128, 224, 256, 512, 512]",30,0.9477,0.9371,0.9477,0.9416
4,450,0.2436527858967741,8,2.757046273371769e-05,adam,5,"[64, 128, 224, 256, 512, 512]",41,0.9044,0.9039,0.9044,0.9016
1,250,0.405674894198815,32,0.000772408647669,rmsprop,4,"[64, 96, 224, 256, 352, 512]",58,0.8296,0.8301,0.8296,0.8233
2,250,0.405674894198815,32,0.000772408647669,rmsprop,4,"[64, 96, 224, 256, 352, 512]",42,0.9087,0.9148,0.9087,0.9088
3,250,0.405674894198815,32,0.000772408647669,rmsprop,4,"[64, 96, 224, 256, 352, 512]",39,0.9011,0.8969,0.9011,0.8974
4,250,0.405674894198815,32,0.000772408647669,rmsprop,4,"[64, 96, 224, 256, 352, 512]",72,0.8637,0.8554,0.8637,0.8594
1,475,0.2577910281261014,16,0.0002327463389706,adam,4,"[48, 128, 128, 128, 256, 288]",11,0.8976,0.9031,0.8976,0.8985
2,475,0.2577910281261014,16,0.0002327463389706,adam,4,"[48, 128, 128, 128, 256, 288]",20,0.9034,0.9172,0.9034,0.9084
3,475,0.2577910281261014,16,0.0002327463389706,adam,4,"[48, 128, 128, 128, 256, 288]",34,0.9607,0.9574,0.9607,0.9586
4,475,0.2577910281261014,16,0.0002327463389706,adam,4,"[48, 128, 128, 128, 256, 288]",23,0.9017,0.9016,0.9016,0.9016
1,350,0.248534152665831,16,1.5662814444980245e-05,rmsprop,6,"[48, 96, 256, 256, 416, 480]",77,0.8554,0.8558,0.8554,0.8542
2,350,0.248534152665831,16,1.5662814444980245e-05,rmsprop,6,"[48, 96, 256, 256, 416, 480]",77,0.8716,0.8715,0.8716,0.87
3,350,0.248534152665831,16,1.5662814444980245e-05,rmsprop,6,"[48, 96, 256, 256, 416, 480]",72,0.8557,0.8822,0.8558,0.8651
4,350,0.248534152665831,16,1.5662814444980245e-05,rmsprop,6,"[48, 96, 256, 256, 416, 480]",62,0.8781,0.8734,0.8781,0.8748
1,400,0.4698358872936395,8,1.8443911009298736e-05,adam,3,"[48, 64, 256, 256, 256, 448]",57,0.8502,0.8586,0.8502,0.8534
2,400,0.4698358872936395,8,1.8443911009298736e-05,adam,3,"[48, 64, 256, 256, 256, 448]",32,0.8325,0.8863,0.8325,0.8518
3,400,0.4698358872936395,8,1.8443911009298736e-05,adam,3,"[48, 64, 256, 256, 256, 448]",50,0.8237,0.8501,0.8237,0.8236
4,400,0.4698358872936395,8,1.8443911009298736e-05,adam,3,"[48, 64, 256, 256, 256, 448]",65,0.842,0.8167,0.842,0.8261
1,300,0.2039102788618614,32,0.0002162949403307,adam,6,"[16, 64, 160, 224, 512, 512]",48,0.863,0.8474,0.863,0.853
2,300,0.2039102788618614,32,0.0002162949403307,adam,6,"[16, 64, 160, 224, 512, 512]",49,0.9011,0.9008,0.9011,0.8998
3,300,0.2039102788618614,32,0.0002162949403307,adam,6,"[16, 64, 160, 224, 512, 512]",44,0.9131,0.9094,0.9131,0.9104
4,300,0.2039102788618614,32,0.0002162949403307,adam,6,"[16, 64, 160, 224, 512, 512]",71,0.9112,0.8807,0.9112,0.892
1,250,0.2556817738581848,8,0.0005022153460409,rmsprop,6,"[32, 32, 192, 224, 320, 480]",46,0.9235,0.9034,0.9235,0.9115
2,250,0.2556817738581848,8,0.0005022153460409,rmsprop,6,"[32, 32, 192, 224, 320, 480]",33,0.9085,0.9178,0.9085,0.9114
3,250,0.2556817738581848,8,0.0005022153460409,rmsprop,6,"[32, 32, 192, 224, 320, 480]",38,0.9368,0.9264,0.9368,0.9309
4,250,0.2556817738581848,8,0.0005022153460409,rmsprop,6,"[32, 32, 192, 224, 320, 480]",29,0.9378,0.9212,0.9378,0.928
1,400,0.2174186140235038,8,0.0005717120781651,rmsprop,4,"[32, 96, 224, 224, 384, 512]",14,0.9229,0.9156,0.9228,0.9188
2,400,0.2174186140235038,8,0.0005717120781651,rmsprop,4,"[32, 96, 224, 224, 384, 512]",32,0.9091,0.9166,0.9091,0.9122
3,400,0.2174186140235038,8,0.0005717120781651,rmsprop,4,"[32, 96, 224, 224, 384, 512]",29,0.9161,0.9382,0.916,0.9255
4,400,0.2174186140235038,8,0.0005717120781651,rmsprop,4,"[32, 96, 224, 224, 384, 512]",27,0.9348,0.918,0.9348,0.9252
1,425,0.3346631080081161,32,1.0038429945198075e-05,adam,3,"[16, 112, 240, 240, 464, 496]",115,0.7902,0.8112,0.7902,0.7956
2,425,0.3346631080081161,32,1.0038429945198075e-05,adam,3,"[16, 112, 240, 240, 464, 496]",122,0.7684,0.7438,0.7684,0.7521
3,425,0.3346631080081161,32,1.0038429945198075e-05,adam,3,"[16, 112, 240, 240, 464, 496]",82,0.7463,0.7974,0.7464,0.7564
4,425,0.3346631080081161,32,1.0038429945198075e-05,adam,3,"[16, 112, 240, 240, 464, 496]",69,0.7352,0.7425,0.7352,0.7194
1,275,0.3260128029919678,8,3.439809422996047e-05,adam,5,"[64, 96, 256, 256, 320, 448]",20,0.91,0.8953,0.91,0.9013
2,275,0.3260128029919678,8,3.439809422996047e-05,adam,5,"[64, 96, 256, 256, 320, 448]",22,0.8988,0.875,0.8988,0.8846
3,275,0.3260128029919678,8,3.439809422996047e-05,adam,5,"[64, 96, 256, 256, 320, 448]",25,0.9086,0.9224,0.9086,0.9139
4,275,0.3260128029919678,8,3.439809422996047e-05,adam,5,"[64, 96, 256, 256, 320, 448]",36,0.9203,0.903,0.9203,0.9108
1,500,0.4178215658946088,16,0.0004476545411722,adam,4,"[64, 112, 240, 240, 336, 368]",26,0.9121,0.8941,0.9121,0.902
2,500,0.4178215658946088,16,0.0004476545411722,adam,4,"[64, 112, 240, 240, 336, 368]",51,0.9315,0.9225,0.9315,0.9263
3,500,0.4178215658946088,16,0.0004476545411722,adam,4,"[64, 112, 240, 240, 336, 368]",27,0.9065,0.912,0.9066,0.9088
