fold,num_of_balancing,dropout_rate,batch_size,learning_rate,optimizer,num_conv_blocks,conv2d_filters,Epoch,Balanced Accuracy,Precision,Recall,F1 Score
4,425,0.3980917227414378,16,0.0003265709227127,rmsprop,5,"[48, 128, 224, 256, 512, 512]",25,0.9263,0.9508,0.9263,0.9356
1,250,0.2755945102545122,16,0.0001778139443309,adam,3,"[64, 80, 240, 240, 368, 432]",30,0.778,0.7923,0.778,0.7768
2,250,0.2755945102545122,16,0.0001778139443309,adam,3,"[64, 80, 240, 240, 368, 432]",14,0.8622,0.8335,0.8623,0.8458
3,250,0.2755945102545122,16,0.0001778139443309,adam,3,"[64, 80, 240, 240, 368, 432]",37,0.9014,0.8791,0.9014,0.885
4,250,0.2755945102545122,16,0.0001778139443309,adam,3,"[64, 80, 240, 240, 368, 432]",24,0.8422,0.8583,0.8422,0.8403
1,250,0.4798912102303196,8,0.0005629499445523,rmsprop,6,"[32, 48, 144, 240, 240, 496]",16,0.9222,0.9223,0.9222,0.9219
2,250,0.4798912102303196,8,0.0005629499445523,rmsprop,6,"[32, 48, 144, 240, 240, 496]",23,0.9286,0.9513,0.9286,0.9389
3,250,0.4798912102303196,8,0.0005629499445523,rmsprop,6,"[32, 48, 144, 240, 240, 496]",34,0.9446,0.9269,0.9446,0.9348
4,250,0.4798912102303196,8,0.0005629499445523,rmsprop,6,"[32, 48, 144, 240, 240, 496]",27,0.9466,0.949,0.9466,0.9462
1,450,0.4389425470344802,16,0.0005804401428767,adam,4,"[32, 32, 224, 256, 352, 416]",39,0.7812,0.77,0.7812,0.7749
2,450,0.4389425470344802,16,0.0005804401428767,adam,4,"[32, 32, 224, 256, 352, 416]",28,0.7621,0.7466,0.7622,0.7509
3,450,0.4389425470344802,16,0.0005804401428767,adam,4,"[32, 32, 224, 256, 352, 416]",31,0.8272,0.8367,0.8272,0.8303
4,450,0.4389425470344802,16,0.0005804401428767,adam,4,"[32, 32, 224, 256, 352, 416]",60,0.8602,0.8373,0.8602,0.8445
1,425,0.388073679397876,16,0.0002232347023507,rmsprop,4,"[48, 112, 112, 176, 240, 336]",42,0.8884,0.8954,0.8884,0.8915
2,425,0.388073679397876,16,0.0002232347023507,rmsprop,4,"[48, 112, 112, 176, 240, 336]",32,0.933,0.9271,0.933,0.9292
3,425,0.388073679397876,16,0.0002232347023507,rmsprop,4,"[48, 112, 112, 176, 240, 336]",27,0.9446,0.9275,0.9446,0.9344
4,425,0.388073679397876,16,0.0002232347023507,rmsprop,4,"[48, 112, 112, 176, 240, 336]",38,0.9115,0.9392,0.9115,0.9213
1,250,0.3149456866475336,8,1.563688560619611e-05,rmsprop,6,"[64, 96, 224, 224, 384, 416]",60,0.8859,0.8461,0.886,0.8616
2,250,0.3149456866475336,8,1.563688560619611e-05,rmsprop,6,"[64, 96, 224, 224, 384, 416]",90,0.9249,0.8886,0.9249,0.9032
3,250,0.3149456866475336,8,1.563688560619611e-05,rmsprop,6,"[64, 96, 224, 224, 384, 416]",47,0.9079,0.8934,0.9079,0.8996
4,250,0.3149456866475336,8,1.563688560619611e-05,rmsprop,6,"[64, 96, 224, 224, 384, 416]",64,0.8611,0.855,0.8611,0.8542
1,425,0.2877014170885844,16,2.0477517485818693e-05,rmsprop,4,"[16, 32, 224, 256, 288, 448]",53,0.8158,0.8759,0.8158,0.8365
2,425,0.2877014170885844,16,2.0477517485818693e-05,rmsprop,4,"[16, 32, 224, 256, 288, 448]",94,0.8935,0.8856,0.8936,0.8877
3,425,0.2877014170885844,16,2.0477517485818693e-05,rmsprop,4,"[16, 32, 224, 256, 288, 448]",59,0.9236,0.9144,0.9236,0.9188
4,425,0.2877014170885844,16,2.0477517485818693e-05,rmsprop,4,"[16, 32, 224, 256, 288, 448]",67,0.8269,0.8435,0.8269,0.8305
1,250,0.4386096162208374,32,3.9039771990709385e-05,rmsprop,5,"[16, 32, 64, 160, 352, 448]",63,0.7402,0.7337,0.7403,0.7209
2,250,0.4386096162208374,32,3.9039771990709385e-05,rmsprop,5,"[16, 32, 64, 160, 352, 448]",61,0.7652,0.7268,0.7652,0.7392
3,250,0.4386096162208374,32,3.9039771990709385e-05,rmsprop,5,"[16, 32, 64, 160, 352, 448]",55,0.8724,0.8426,0.8724,0.8537
4,250,0.4386096162208374,32,3.9039771990709385e-05,rmsprop,5,"[16, 32, 64, 160, 352, 448]",73,0.7762,0.758,0.7762,0.7604
1,500,0.2833265994043211,32,1.875441450438416e-05,rmsprop,5,"[32, 128, 160, 224, 384, 512]",104,0.8618,0.892,0.8618,0.8732
2,500,0.2833265994043211,32,1.875441450438416e-05,rmsprop,5,"[32, 128, 160, 224, 384, 512]",115,0.909,0.8934,0.909,0.9
3,500,0.2833265994043211,32,1.875441450438416e-05,rmsprop,5,"[32, 128, 160, 224, 384, 512]",58,0.909,0.8932,0.909,0.8976
4,500,0.2833265994043211,32,1.875441450438416e-05,rmsprop,5,"[32, 128, 160, 224, 384, 512]",97,0.8585,0.88,0.8586,0.8627
1,250,0.2096187982506599,16,0.0001320860146001,adam,6,"[64, 64, 224, 256, 352, 448]",27,0.9104,0.8941,0.9104,0.901
2,250,0.2096187982506599,16,0.0001320860146001,adam,6,"[64, 64, 224, 256, 352, 448]",29,0.9365,0.9252,0.9365,0.9291
3,250,0.2096187982506599,16,0.0001320860146001,adam,6,"[64, 64, 224, 256, 352, 448]",26,0.9483,0.9344,0.9483,0.9405
4,250,0.2096187982506599,16,0.0001320860146001,adam,6,"[64, 64, 224, 256, 352, 448]",31,0.924,0.9309,0.924,0.9242
1,250,0.4380157033260363,16,7.507401946268487e-05,rmsprop,6,"[32, 96, 128, 192, 352, 512]",60,0.9254,0.9251,0.9254,0.9239
2,250,0.4380157033260363,16,7.507401946268487e-05,rmsprop,6,"[32, 96, 128, 192, 352, 512]",47,0.9345,0.9005,0.9346,0.9147
3,250,0.4380157033260363,16,7.507401946268487e-05,rmsprop,6,"[32, 96, 128, 192, 352, 512]",56,0.9354,0.9109,0.9354,0.9214
4,250,0.4380157033260363,16,7.507401946268487e-05,rmsprop,6,"[32, 96, 128, 192, 352, 512]",52,0.9016,0.9115,0.9016,0.9052
1,350,0.2388848639347272,32,1.395498849828368e-05,adam,5,"[48, 128, 192, 224, 384, 480]",81,0.9082,0.9056,0.9082,0.9066
2,350,0.2388848639347272,32,1.395498849828368e-05,adam,5,"[48, 128, 192, 224, 384, 480]",75,0.878,0.894,0.878,0.885
3,350,0.2388848639347272,32,1.395498849828368e-05,adam,5,"[48, 128, 192, 224, 384, 480]",72,0.8624,0.834,0.8624,0.8419
4,350,0.2388848639347272,32,1.395498849828368e-05,adam,5,"[48, 128, 192, 224, 384, 480]",78,0.8664,0.8675,0.8664,0.866
1,450,0.3455569054322316,16,0.0001066751423661,rmsprop,6,"[64, 112, 208, 240, 400, 400]",16,0.9401,0.9364,0.9401,0.9379
2,450,0.3455569054322316,16,0.0001066751423661,rmsprop,6,"[64, 112, 208, 240, 400, 400]",31,0.9664,0.9743,0.9664,0.9699
3,450,0.3455569054322316,16,0.0001066751423661,rmsprop,6,"[64, 112, 208, 240, 400, 400]",26,0.9353,0.9272,0.9353,0.931
4,450,0.3455569054322316,16,0.0001066751423661,rmsprop,6,"[64, 112, 208, 240, 400, 400]",18,0.9423,0.9268,0.9422,0.9338
1,350,0.4749825108830813,8,2.2266431733585626e-05,adam,3,"[32, 32, 256, 256, 288, 288]",43,0.7864,0.8202,0.7864,0.797
2,350,0.4749825108830813,8,2.2266431733585626e-05,adam,3,"[32, 32, 256, 256, 288, 288]",45,0.8377,0.8189,0.8377,0.8195
3,350,0.4749825108830813,8,2.2266431733585626e-05,adam,3,"[32, 32, 256, 256, 288, 288]",44,0.8094,0.7994,0.8094,0.8016
4,350,0.4749825108830813,8,2.2266431733585626e-05,adam,3,"[32, 32, 256, 256, 288, 288]",63,0.8349,0.8394,0.8349,0.8349
1,350,0.3035408922501906,16,0.0005350568218892,rmsprop,5,"[16, 48, 144, 240, 432, 496]",39,0.9329,0.9434,0.9329,0.9364
2,350,0.3035408922501906,16,0.0005350568218892,rmsprop,5,"[16, 48, 144, 240, 432, 496]",31,0.942,0.956,0.942,0.9478
